OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00001,0.007359,1e-04,0.002288,0.30277,0.026682,0.054448,0.000999,0.02212785,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Enterobacteriales(100),Enterobacteriaceae(100),Enterobacteriaceae_unclassified(100),
Otu00002,0.087018,0.006526,0.018533,0,0,0,0.000999,0.02212785,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00003,0.070022,0.005624,0.017204,0,0,0,0.000999,0.02212785,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Faecalibacterium(100),
Otu00006,0.00046,2e-06,0.000326,0.108013,0.011016,0.034985,0.000999,0.02212785,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiaceae_1(100),Clostridium_sensu_stricto(100),
Otu00007,0.029875,0.001667,0.009366,0,0,0,0.000999,0.02212785,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(65),Clostridiales_unclassified(65),
Otu00010,0.021552,0.001932,0.010083,4.6e-05,0,4.6e-05,0.000999,0.02212785,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu00011,0.018048,0.001235,0.008062,4.6e-05,0,4.6e-05,0.000999,0.02212785,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Veillonellaceae(100),Megasphaera(100),
Otu00012,0.029305,0.001323,0.008344,0,0,0,0.000999,0.02212785,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00013,0.023173,0.000413,0.00466,0,0,0,0.000999,0.02212785,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00014,0.0198,0.000506,0.00516,0,0,0,0.000999,0.02212785,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
