OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00311,0.000372,2e-06,0.000284,0,0,0,5e-06,0.00298666666666667,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00328,0,0,0,0.000395,2e-06,0.000298,4e-06,0.00298666666666667,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu00332,0.000372,3e-06,0.000372,0,0,0,5e-06,0.00298666666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00345,0.00035,2e-06,0.00035,0,0,0,1e-05,0.00448,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu00373,0.000329,2e-06,0.000306,0,0,0,2.1e-05,0.0075264,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Intestinibacter(91),
Otu00423,0,0,0,0.000333,1e-06,0.000231,3.3e-05,0.009856,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00349,0.000263,1e-06,0.000221,0,0,0,0.000179,0.0383786666666667,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu00433,0,0,0,0.00027,1e-06,0.00027,0.000257,0.0383786666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu00465,0.000329,0,0.000161,2.1e-05,0,2.1e-05,0.000202,0.0383786666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00483,0,0,0,0.00027,1e-06,0.00027,0.000257,0.0383786666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcus(100),
